isl_target,osl_target,isl_actual,osl_actual,n,ttft_p50,ttft_p95,ttft_p99,e2e_p50,e2e_p95,tpot_mean,tpot_cv_pct,itl_p50,itl_p95,itl_p99,itl_max,speed_tok_s,n_itl
128,128,128.0,128.0,10,18.2251,22.5183,22.5183,1207.0897,1209.7481,9.352681732283465,0.12059824639574449,9.3569,9.5023,9.5862,10.3104,106.92120491475863,1270
128,512,128.0,512.0,10,18.1754,23.9948,23.9948,4802.1727,4806.8845,9.355784755381604,0.07970862440236566,9.3551,9.4945,9.6403,10.5293,106.8857424733701,5110
512,128,512.0,128.0,10,41.2951,42.2004,42.2004,1230.1162,1231.3157,9.359039448818898,0.034929779883843416,9.3595,9.5025,9.6327,10.457,106.84857195747787,1270
512,512,512.0,512.0,10,42.0343,42.7656,42.7656,4821.6107,4832.6251,9.35878097847358,0.10638947410785596,9.3578,9.4975,9.6772,10.6652,106.85152289599796,5110
1024,128,1024.0,128.0,10,73.1133,74.7771,74.7771,1262.4477,1263.8348,9.362037322834645,0.08328332736654286,9.3667,9.5079,9.6219,10.539,106.81435733661647,1270
1024,512,1024.0,512.0,10,73.6321,75.5202,75.5202,4860.2314,4882.6866,9.37075953033268,0.15271020682302705,9.3662,9.5362,9.8489,11.9636,106.71493562107212,5110
2048,128,2048.0,128.0,10,137.7446,139.5336,139.5336,1336.8211,1338.2834,9.439333228346456,0.06335750287051821,9.4472,9.6167,9.85,10.5893,105.93968618429375,1270
2048,512,2048.0,512.0,10,137.605,139.9499,139.9499,4963.1362,4966.9075,9.441774305283758,0.06924030710426196,9.4418,9.5786,9.7802,12.8688,105.91229653100108,5110
4096,128,4096.0,128.0,10,273.5595,275.9064,275.9064,1480.6166,1482.4201,9.502947637795275,0.09645165327834555,9.52,9.6502,9.8293,10.1566,105.23050721891637,1270
4096,512,4096.0,512.0,10,273.7006,275.707,275.707,5141.6243,5144.1547,9.522497181996087,0.08262353104562692,9.5252,9.6658,9.7851,10.876,105.01447056247719,5110
8192,128,8194.0,128.0,10,567.6379,568.3659,568.3659,1785.1684,1787.0484,9.58881874015748,0.09615366035096387,9.6093,9.7593,9.8556,10.0725,104.28813257383325,1270
8192,512,8194.0,512.0,10,567.7744,569.308,569.308,5480.9228,5485.4606,9.612595401174168,0.07973206053095876,9.6161,9.7492,9.9118,10.9112,104.0301768945618,5110
