concurrency,n_runs,sys_out_tok_s,sys_total_tok_s,req_per_s,user_speed_tok_s,efficiency,ttft_p50,ttft_p95,ttft_p99,e2e_p50,e2e_p95,tpot_mean,itl_p50,itl_p95,itl_p99,n_requests,n_errors
1,1,103.82371565034134,519.1185782517067,0.40556138925914587,106.70814430369161,0.9729689924590837,73.972,74.6873,74.6873,2464.4205,2466.7941,9.371355921568627,9.377,9.5089,9.6697,5,0
2,1,192.86025147381588,964.3012573690794,0.7533603573195933,100.39290515386585,0.9605272961183421,78.4682,149.8629,149.8629,2651.234,2657.9187,9.96086325490196,9.8322,10.0307,10.2225,10,0
4,1,361.71811778899416,1808.590588944971,1.4129613976132585,96.6746667038504,0.9354004780204416,218.3311,280.4965,285.8855,2832.7552,2840.9522,10.343971529411764,9.9536,10.2105,10.4862,20,0
8,1,653.654607765616,3268.2730388280797,2.5533383115844375,90.06868410028699,0.9071613156879867,282.0719,474.1987,549.4586,3126.7194,3205.7212,11.10263805882353,10.1486,10.4571,72.9984,40,0
16,2,1102.8791378433298,5514.395689216648,4.308121632200507,77.78977669978659,0.886105584221963,390.4615,876.7345,1072.23335,3705.79515,4130.73515,12.855170681372549,10.48795,11.094149999999999,129.026,160,0
20,1,1220.5068835218028,6102.534417609014,4.767605013757042,68.67383018560413,0.8886259003052183,393.501,1139.5895,1325.6355,4177.7152,4864.9704,14.56158768627451,11.4284,12.2853,130.4205,100,0
24,1,1379.1629967546187,6895.814983773093,5.387355456072729,64.84909445861476,0.8861361187001422,403.7181,1249.8625,1621.8696,4434.053,5225.4871,15.4204157875817,11.4519,12.4123,131.1658,120,0
28,1,1505.224380785079,7526.121903925394,5.879782737441714,61.16833724135041,0.8788536034150385,518.5681,1511.7232,1894.9031,4734.533,5774.9905,16.348327338935576,11.7198,13.2024,131.7304,140,0
32,2,1618.9929174425486,8094.964587212743,6.324191083759955,57.41829564582961,0.8811457130313558,495.9236,1651.2577999999999,2061.03775,5014.3762,6206.161550000001,17.416178098039218,11.8812,28.726550000000003,132.3827,320,0
64,2,2113.9327833163734,10569.663916581865,8.257549934829584,37.67427434784946,0.8767563694114566,543.8457000000001,3452.9137,4241.1219,7689.43185,10580.9609,26.543923904258577,14.1019,136.0499,140.3216,576,0
96,1,2309.7924765681287,11548.962382840642,9.022626861594253,27.79645738714647,0.865590098855927,697.1262,5523.4047,6508.7781,10512.9916,15366.1992,35.97580749489379,16.6161,141.1152,146.2537,384,0
128,1,2429.254919482184,12146.274597410922,9.489277029227281,21.774723545104923,0.8715864529412611,584.7492,7323.4347,8874.2314,13406.2712,19882.2338,45.924808089001225,18.3916,147.0359,151.5968,512,0
